season,week,game_type,home_team,away_team,home_score,away_score,spread_line,result,home_moneyline,away_moneyline,home_spread_odds,away_spread_odds,div_game,total_line,home_win,is_tie,is_playoff,is_home_fav,spread_bucket,spread_wp_538,ml_wp_close,ml_formula_divergence,spread_open,spread_close_mkt,spread_move,ml_wp_open,ml_wp_close_mkt,ml_formula_divergence_open,home_spread_close_price,away_spread_close_price,home_is_fav_ml,fav_ml_wp,fav_wp_cal,ml_wp_cal,fav_margin,fav_spread,fav_spread_close_price,dog_spread_close_price
1999,4,REG,WAS,CAR,38.0,36.0,-8.5,2.0,,,,,0,45.5,1,0,0,1,-8.5,0.7726346900351523,,,-8.5,-8.5,0.0,,,,,,,,,,-2.0,-8.5,,
1999,4,REG,MIA,BUF,18.0,23.0,-4.5,-5.0,,,,,1,40.5,0,0,0,1,-4.5,0.6564698885215916,,,-4.5,-4.5,0.0,,,,,,,,,,5.0,-4.5,,
1999,5,REG,ARI,NYG,14.0,3.0,-3.0,11.0,,,,,1,37.5,1,0,0,1,-3.0,0.6062878237854281,,,-3.0,-3.0,0.0,,,,,,,,,,-11.0,-3.0,,
1999,5,REG,BUF,PIT,24.0,21.0,-6.5,3.0,,,,,0,38.0,1,0,0,1,-6.5,0.7181746423634181,,,-6.5,-6.5,0.0,,,,,,,,,,-3.0,-6.5,,
1999,5,REG,CLE,CIN,17.0,18.0,3.0,-1.0,,,,,1,36.0,0,0,0,0,3.0,0.3937121762145718,,,3.0,3.0,0.0,,,,,,,,,,1.0,3.0,,
1999,5,REG,DET,LAC,10.0,20.0,-3.5,-10.0,,,,,0,40.0,0,0,0,1,-3.5,0.623326217078607,,,-3.5,-3.5,0.0,,,,,,,,,,10.0,-3.5,,
1999,5,REG,GB,TB,26.0,23.0,-6.0,3.0,,,,,1,40.5,1,0,0,1,-6.0,0.7033850034718286,,,-6.0,-6.0,0.0,,,,,,,,,,-3.0,-6.0,,
1999,5,REG,IND,MIA,31.0,34.0,1.5,-3.0,,,,,1,44.5,0,0,0,0,1.5,0.44624175535537913,,,1.5,1.5,0.0,,,,,,,,,,3.0,1.5,,
1999,5,REG,KC,NE,16.0,14.0,-2.5,2.0,,,,,0,41.0,1,0,0,1,-2.5,0.5889869159604855,,,-2.5,-2.5,0.0,,,,,,,,,,-2.0,-2.5,,
1999,5,REG,MIN,CHI,22.0,24.0,-13.0,-2.0,,,,,1,43.5,0,0,0,1,-13.0,0.8665566437895401,,,-13.0,-13.0,0.0,,,,,,,,,,2.0,-13.0,,
1999,5,REG,NO,ATL,17.0,20.0,-3.0,-3.0,,,,,1,35.5,0,0,0,1,-3.0,0.6062878237854281,,,-3.0,-3.0,0.0,,,,,,,,,,3.0,-3.0,,
1999,5,REG,OAK,DEN,13.0,16.0,-7.0,-3.0,,,,,1,38.0,0,0,0,1,-7.0,0.7325072897556676,,,-7.0,-7.0,0.0,,,,,,,,,,3.0,-7.0,,
1999,5,REG,PHI,DAL,13.0,10.0,9.5,3.0,,,,,1,37.0,1,0,0,0,9.5,0.20307909504847332,,,9.5,9.5,0.0,,,,,,,,,,-3.0,9.5,,
1999,5,REG,LAR,SF,42.0,20.0,-3.0,22.0,,,,,1,45.5,1,0,0,1,-3.0,0.6062878237854281,,,-3.0,-3.0,0.0,,,,,,,,,,-22.0,-3.0,,
1999,5,REG,TEN,BAL,14.0,11.0,-7.0,3.0,,,,,1,38.5,1,0,0,1,-7.0,0.7325072897556676,,,-7.0,-7.0,0.0,,,,,,,,,,-3.0,-7.0,,
1999,5,REG,NYJ,JAX,6.0,16.0,3.0,-10.0,,,,,0,40.0,0,0,0,0,3.0,0.3937121762145718,,,3.0,3.0,0.0,,,,,,,,,,10.0,3.0,,
1999,6,REG,ARI,WAS,10.0,24.0,3.5,-14.0,,,,,1,45.5,0,0,0,0,3.5,0.37667378292139303,,,3.5,3.5,0.0,,,,,,,,,,14.0,3.5,,
1999,6,REG,ATL,LAR,13.0,41.0,6.0,-28.0,,,,,1,45.0,0,0,0,0,6.0,0.29661499652817136,,,6.0,6.0,0.0,,,,,,,,,,28.0,6.0,,
1999,6,REG,BUF,OAK,14.0,20.0,-3.5,-6.0,,,,,0,40.5,0,0,0,1,-3.5,0.623326217078607,,,-3.5,-3.5,0.0,,,,,,,,,,6.0,-3.5,,
1999,6,REG,CHI,PHI,16.0,20.0,-6.5,-4.0,,,,,0,35.0,0,0,0,1,-6.5,0.7181746423634181,,,-6.5,-6.5,0.0,,,,,,,,,,4.0,-6.5,,
1999,6,REG,CIN,PIT,3.0,17.0,5.0,-14.0,,,,,1,37.5,0,0,0,0,5.0,0.32749035666501497,,,5.0,5.0,0.0,,,,,,,,,,14.0,5.0,,
1999,6,REG,DEN,GB,31.0,10.0,3.5,21.0,,,,,0,40.0,1,0,0,0,3.5,0.37667378292139303,,,3.5,3.5,0.0,,,,,,,,,,-21.0,3.5,,
1999,6,REG,DET,MIN,25.0,23.0,3.5,2.0,,,,,1,45.0,1,0,0,0,3.5,0.37667378292139303,,,3.5,3.5,0.0,,,,,,,,,,-2.0,3.5,,
1999,6,REG,JAX,CLE,24.0,7.0,-17.5,17.0,,,,,1,37.5,1,0,0,1,-17.5,0.9254253232872338,,,-17.5,-17.5,0.0,,,,,,,,,,-17.0,-17.5,,
1999,6,REG,NE,MIA,30.0,31.0,-2.5,-1.0,,,,,1,42.5,0,0,0,1,-2.5,0.5889869159604855,,,-2.5,-2.5,0.0,,,,,,,,,,1.0,-2.5,,
1999,6,REG,NO,TEN,21.0,24.0,3.0,-3.0,,,,,0,36.5,0,0,0,0,3.0,0.3937121762145718,,,3.0,3.0,0.0,,,,,,,,,,3.0,3.0,,
1999,6,REG,NYJ,IND,13.0,16.0,2.5,-3.0,,,,,1,42.5,0,0,0,0,2.5,0.41101308403951453,,,2.5,2.5,0.0,,,,,,,,,,3.0,2.5,,
1999,6,REG,LAC,SEA,13.0,10.0,1.5,3.0,,,,,1,37.5,1,0,0,0,1.5,0.44624175535537913,,,1.5,1.5,0.0,,,,,,,,,,-3.0,1.5,,
1999,6,REG,SF,CAR,29.0,31.0,-5.0,-2.0,,,,,1,44.0,0,0,0,1,-5.0,0.672509643334985,,,-5.0,-5.0,0.0,,,,,,,,,,2.0,-5.0,,
1999,6,REG,NYG,DAL,13.0,10.0,3.0,3.0,,,,,1,37.0,1,0,0,0,3.0,0.3937121762145718,,,3.0,3.0,0.0,,,,,,,,,,-3.0,3.0,,
1999,7,REG,BAL,KC,8.0,35.0,1.0,-27.0,,,,,0,36.0,0,0,0,0,1.0,0.4640840730548977,,,1.0,1.0,0.0,,,,,,,,,,27.0,1.0,,
1999,7,REG,CAR,DET,9.0,24.0,-4.5,-15.0,,,,,0,43.5,0,0,0,1,-4.5,0.6564698885215916,,,-4.5,-4.5,0.0,,,,,,,,,,15.0,-4.5,,
1999,7,REG,DAL,WAS,38.0,20.0,-2.0,18.0,,,,,1,44.0,1,0,0,1,-2.0,0.5714631174083814,,,-2.0,-2.0,0.0,,,,,,,,,,-18.0,-2.0,,
1999,7,REG,IND,CIN,31.0,10.0,-11.0,21.0,,,,,0,44.0,1,0,0,1,-11.0,0.8296328234313434,,,-11.0,-11.0,0.0,,,,,,,,,,-21.0,-11.0,,
1999,7,REG,MIA,PHI,16.0,13.0,-9.0,3.0,,,,,0,34.0,1,0,0,1,-9.0,0.785026736998172,,,-9.0,-9.0,0.0,,,,,,,,,,-3.0,-9.0,,
1999,7,REG,MIN,SF,40.0,16.0,-7.0,24.0,,,,,0,48.5,1,0,0,1,-7.0,0.7325072897556676,,,-7.0,-7.0,0.0,,,,,,,,,,-24.0,-7.0,,
1999,7,REG,NE,DEN,24.0,23.0,-3.5,1.0,,,,,0,40.5,1,0,0,1,-3.5,0.623326217078607,,,-3.5,-3.5,0.0,,,,,,,,,,-1.0,-3.5,,
1999,7,REG,NYG,NO,31.0,3.0,-3.0,28.0,,,,,0,34.0,1,0,0,1,-3.0,0.6062878237854281,,,-3.0,-3.0,0.0,,,,,,,,,,-28.0,-3.0,,
1999,7,REG,OAK,NYJ,24.0,23.0,-6.5,1.0,,,,,0,37.0,1,0,0,1,-6.5,0.7181746423634181,,,-6.5,-6.5,0.0,,,,,,,,,,-1.0,-6.5,,
1999,7,REG,LAC,GB,3.0,31.0,3.0,-28.0,,,,,0,37.5,0,0,0,0,3.0,0.3937121762145718,,,3.0,3.0,0.0,,,,,,,,,,28.0,3.0,,
1999,7,REG,SEA,BUF,26.0,16.0,-2.5,10.0,,,,,0,38.0,1,0,0,1,-2.5,0.5889869159604855,,,-2.5,-2.5,0.0,,,,,,,,,,-10.0,-2.5,,
1999,7,REG,LAR,CLE,34.0,3.0,-18.5,31.0,,,,,0,43.5,1,0,0,1,-18.5,0.9347689627981702,,,-18.5,-18.5,0.0,,,,,,,,,,-31.0,-18.5,,
1999,7,REG,TB,CHI,6.0,3.0,-8.0,3.0,,,,,1,36.5,1,0,0,1,-8.0,0.7597469266479578,,,-8.0,-8.0,0.0,,,,,,,,,,-3.0,-8.0,,
1999,7,REG,PIT,ATL,13.0,9.0,-5.5,4.0,,,,,0,37.0,1,0,0,1,-5.5,0.6881562429386404,,,-5.5,-5.5,0.0,,,,,,,,,,-4.0,-5.5,,
1999,8,REG,ARI,NE,3.0,27.0,3.0,-24.0,,,,,0,40.5,0,0,0,0,3.0,0.3937121762145718,,,3.0,3.0,0.0,,,,,,,,,,24.0,3.0,,
1999,8,REG,ATL,CAR,27.0,20.0,-2.0,7.0,,,,,1,40.0,1,0,0,1,-2.0,0.5714631174083814,,,-2.0,-2.0,0.0,,,,,,,,,,-7.0,-2.0,,
1999,8,REG,BAL,BUF,10.0,13.0,3.5,-3.0,,,,,0,36.5,0,0,0,0,3.5,0.37667378292139303,,,3.5,3.5,0.0,,,,,,,,,,3.0,3.5,,
1999,8,REG,CIN,JAX,10.0,41.0,12.5,-31.0,,,,,1,38.0,0,0,0,0,12.5,0.14198567731717118,,,12.5,12.5,0.0,,,,,,,,,,31.0,12.5,,
1999,8,REG,DEN,MIN,20.0,23.0,2.5,-3.0,,,,,0,45.0,0,0,0,0,2.5,0.41101308403951453,,,2.5,2.5,0.0,,,,,,,,,,3.0,2.5,,
1999,8,REG,DET,TB,20.0,3.0,2.5,17.0,,,,,1,35.0,1,0,0,0,2.5,0.41101308403951453,,,2.5,2.5,0.0,,,,,,,,,,-17.0,2.5,,
1999,8,REG,IND,DAL,34.0,24.0,-3.0,10.0,,,,,0,46.0,1,0,0,1,-3.0,0.6062878237854281,,,-3.0,-3.0,0.0,,,,,,,,,,-10.0,-3.0,,
1999,8,REG,KC,LAC,34.0,0.0,-6.0,34.0,,,,,1,35.0,1,0,0,1,-6.0,0.7033850034718286,,,-6.0,-6.0,0.0,,,,,,,,,,-34.0,-6.0,,
1999,8,REG,NO,CLE,16.0,21.0,-9.5,-5.0,,,,,0,33.5,0,0,0,1,-9.5,0.7969209049515267,,,-9.5,-9.5,0.0,,,,,,,,,,5.0,-9.5,,
1999,8,REG,OAK,MIA,9.0,16.0,-3.0,-7.0,,,,,0,37.0,0,0,0,1,-3.0,0.6062878237854281,,,-3.0,-3.0,0.0,,,,,,,,,,7.0,-3.0,,
1999,8,REG,PHI,NYG,17.0,23.0,2.5,-6.0,,,,,1,33.5,0,0,0,0,2.5,0.41101308403951453,,,2.5,2.5,0.0,,,,,,,,,,6.0,2.5,,
1999,8,REG,TEN,LAR,24.0,21.0,3.0,3.0,,,,,0,44.5,1,0,0,0,3.0,0.3937121762145718,,,3.0,3.0,0.0,,,,,,,,,,-3.0,3.0,,
1999,8,REG,WAS,CHI,48.0,22.0,-8.5,26.0,,,,,0,44.0,1,0,0,1,-8.5,0.7726346900351523,,,-8.5,-8.5,0.0,,,,,,,,,,-26.0,-8.5,,
1999,8,REG,GB,SEA,7.0,27.0,-5.5,-20.0,,,,,0,42.5,0,0,0,1,-5.5,0.6881562429386404,,,-5.5,-5.5,0.0,,,,,,,,,,20.0,-5.5,,
1999,9,REG,ATL,JAX,7.0,30.0,6.0,-23.0,,,,,0,41.0,0,0,0,0,6.0,0.29661499652817136,,,6.0,6.0,0.0,,,,,,,,,,23.0,6.0,,
1999,9,REG,CAR,PHI,33.0,7.0,-5.0,26.0,,,,,0,36.0,1,0,0,1,-5.0,0.672509643334985,,,-5.0,-5.0,0.0,,,,,,,,,,-26.0,-5.0,,
1999,9,REG,CLE,BAL,9.0,41.0,3.5,-32.0,,,,,1,32.5,0,0,0,0,3.5,0.37667378292139303,,,3.5,3.5,0.0,,,,,,,,,,32.0,3.5,,
1999,9,REG,DET,LAR,31.0,27.0,4.0,4.0,,,,,0,45.0,1,0,0,0,4.0,0.35993500019711494,,,4.0,4.0,0.0,,,,,,,,,,-4.0,4.0,,
1999,9,REG,GB,CHI,13.0,14.0,-9.0,-1.0,,,,,1,40.5,0,0,0,1,-9.0,0.785026736998172,,,-9.0,-9.0,0.0,,,,,,,,,,1.0,-9.0,,
