k,baseline,observed_pos,observed_neg,observed_combined,expected_pos,expected_neg,expected_combined,observed_rate_combined,expected_rate_combined,excess_rate_combined,ratio_combined
33,gaussian,12,1,13,17.760738887239366,5.42550473155252,23.186243618791885,0.002594292556375973,0.004627069171580899,-0.002032776615204926,0.5606772797584089
33,gennorm,12,1,13,22.071641237895633,8.4104144089795,30.482055646875132,0.002594292556375973,0.006083028466748181,-0.0034887359103722075,0.42648042345309134
34,gaussian,26,4,30,15.532740809842174,5.00024965221669,20.532990462058862,0.005986828976252245,0.0040975834089121655,0.0018892455673400793,1.4610633582786885
34,gennorm,26,4,30,20.054841083834642,7.79765100399737,27.85249208783201,0.005986828976252245,0.005558270223075636,0.00042855875317660913,1.07710289999889
35,gaussian,27,4,31,13.584105935120498,4.621259053075498,18.205364988195996,0.00618638994212732,0.0036330802211526634,0.002553309720974657,1.7027947541892072
35,gennorm,27,4,31,18.224614770486056,7.23859433198745,25.463209102473506,0.00618638994212732,0.00508146260276861,0.0011049273393587097,1.217442776958881
36,gaussian,2,0,2,11.887216796972808,4.282250937255919,16.16946773422873,0.0003991219317501497,0.0032267945987285427,-0.0028276726669783933,0.12368990945609494
36,gennorm,2,0,2,16.56572079771732,6.728248462187067,23.293969259904387,0.0003991219317501497,0.004648567004570821,-0.0042494450728206715,0.08585913279462314
37,gaussian,16,3,19,10.41523206568155,3.977890896215849,14.393122961897399,0.003791658351626422,0.002872305520234963,0.000919352831391459,1.320074875362233
37,gennorm,16,3,19,15.063742741429976,6.262067818787531,21.32581056021751,0.003791658351626422,0.004255799353465877,-0.0004641410018394549,0.8909391718710932
38,gaussian,25,1,26,9.142572067946315,3.7036544310356136,12.846226498981927,0.005188585112751946,0.0025636053679868147,0.002624979744765131,2.02394064919068
38,gennorm,25,1,26,13.70512492656344,5.835922114313686,19.541047040877125,0.005188585112751946,0.003899630221687712,0.0012889548910642338,1.3305325935509829
39,gaussian,2,0,2,8.045267672276859,3.455704494396631,11.50097216667349,0.0003991219317501497,0.002295145114083714,-0.0018960231823335642,0.17389834276752925
39,gennorm,2,0,2,12.477187559530904,5.446062917056599,17.923250476587505,0.0003991219317501497,0.003576781176728698,-0.003177659244978548,0.11158690230951845
40,gaussian,10,0,10,7.101188681161046,3.230784248379989,10.331972929541035,0.001995609658750748,0.0020618584972143354,-6.624883846358706e-05,0.9678693574010572
40,gennorm,10,0,10,11.368125465982587,5.089091995752076,16.457217461734665,0.001995609658750748,0.003284218212279917,-0.0012886085535291688,0.6076361343131912
