number,signed_margin,fav_spread,distance,n_bucket,empirical_rate,baseline_rate,excess_rate
5,5,6.5,1.5,239,0.02510460251046025,0.034969002565981004,-0.009864400055520754
5,5,7.0,2.0,337,0.020771513353115726,0.03606382937754074,-0.015292316024425014
5,5,7.5,2.5,230,0.021739130434782608,0.03644406814057678,-0.014704937705794174
5,5,8.0,3.0,56,0.017857142857142856,0.0360541132556949,-0.018196970398552045
5,5,8.5,3.5,58,0.017241379310344827,0.034890907981963364,-0.017649528671618536
5,5,9.0,4.0,109,0.009174311926605505,0.03259053096748806,-0.023416219040882556
5,5,9.5,4.5,129,0.015503875968992248,0.03242534485935624,-0.016921468890363993
5,5,10.0,5.0,163,0.012269938650306749,0.03184146057155231,-0.01957152192124556
5,5,10.5,5.5,108,0.027777777777777776,0.031178560438700122,-0.003400782660922346
5,5,11.0,6.0,58,0.017241379310344827,0.030602955585779773,-0.013361576275434946
5,5,12.5,7.5,35,0.0,0.028120609612837896,-0.028120609612837896
5,5,13.0,8.0,59,0.03389830508474576,0.026884261755179235,0.007014043329566528
5,5,13.5,8.5,50,0.0,0.026320555195995517,-0.026320555195995517
5,5,14.0,9.0,79,0.02531645569620253,0.02536060910809929,-4.415341189675792e-05
5,-5,1.0,6.0,218,0.009174311926605505,0.018623615855660622,-0.009449303929055117
5,-5,1.5,6.5,102,0.0,0.012392289046180487,-0.012392289046180487
5,-5,2.0,7.0,107,0.028037383177570093,0.01202237881348601,0.01601500436408408
5,-5,2.5,7.5,420,0.02142857142857143,0.017340266926522484,0.004088304502048945
5,-5,3.0,8.0,784,0.02295918367346939,0.023366114639891206,-0.00040693096642181736
5,-5,3.5,8.5,517,0.01160541586073501,0.026269672821644035,-0.014664256960909025
5,-5,4.0,9.0,248,0.016129032258064516,0.025968853595439875,-0.009839821337375359
5,-5,4.5,9.5,189,0.021164021164021163,0.024928736897493666,-0.0037647157334725033
5,-5,5.0,10.0,115,0.017391304347826087,0.023822443157626647,-0.006431138809800559
5,-5,5.5,10.5,213,0.018779342723004695,0.02277213662679708,-0.003992793903792386
5,-5,6.0,11.0,242,0.004132231404958678,0.021854562051526274,-0.017722330646567596
5,-5,6.5,11.5,239,0.012552301255230125,0.02094848345360218,-0.008396182198372055
5,-5,7.0,12.0,337,0.005934718100890208,0.01987414454152195,-0.01393942644063174
5,-5,7.5,12.5,230,0.017391304347826087,0.018715928053537948,-0.001324623705711861
5,-5,8.0,13.0,56,0.017857142857142856,0.017685272741844765,0.00017187011529809157
5,-5,8.5,13.5,58,0.034482758620689655,0.01690309184058654,0.017579666780103115
5,-5,9.0,14.0,109,0.0,0.016440833153469638,-0.016440833153469638
5,-5,9.5,14.5,129,0.007751937984496124,0.015448702925372884,-0.00769676494087676
5,-5,10.0,15.0,163,0.006134969325153374,0.014602220215311452,-0.008467250890158078
5,-5,10.5,15.5,108,0.009259259259259259,0.013763728113728802,-0.004504468854469543
5,-5,11.0,16.0,58,0.034482758620689655,0.012924601331822307,0.021558157288867348
